price,lotsize,bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea
70000,4520,3,1,two,yes,no,yes,no,yes,0,no
82000,4640,4,1,two,yes,no,no,no,no,1,no
92000,8580,5,3,two,yes,no,no,no,no,2,no
38000,2000,2,1,two,yes,no,no,no,no,0,no
44000,2160,3,1,two,no,no,yes,no,no,0,no
41000,3040,2,1,one,no,no,no,no,no,0,no
43000,3090,3,1,two,no,no,no,no,no,0,no
48000,4960,4,1,three,no,no,no,no,no,0,no
54800,3350,3,1,two,yes,no,no,no,no,0,no
55000,5300,5,2,two,yes,no,no,no,no,0,no
57000,4100,4,1,one,no,no,yes,no,no,0,no
68000,9166,2,1,one,yes,no,yes,no,yes,2,no
95000,4040,3,1,two,yes,no,yes,yes,no,1,no
38000,3630,3,3,two,no,yes,no,no,no,0,no
25000,3620,2,1,one,yes,no,no,no,no,0,no
25245,2400,3,1,one,no,no,no,no,no,0,no
56000,7260,3,2,one,yes,yes,yes,no,no,3,no
35500,4400,3,1,two,yes,no,no,no,no,0,no
30000,2400,3,1,two,yes,no,no,no,no,0,no
48000,4120,2,1,two,yes,no,no,no,no,0,no
48000,4750,2,1,one,yes,no,no,no,no,0,no
52000,4280,2,1,one,yes,no,no,no,yes,2,no
54000,4820,3,1,two,yes,no,no,no,no,0,no
56000,5500,4,1,two,yes,yes,yes,no,no,0,no
60000,5500,3,1,two,yes,no,no,no,yes,0,no
60000,5040,3,1,two,yes,no,yes,no,yes,0,no
67000,6000,2,1,one,yes,no,yes,no,yes,1,no
47000,2500,2,1,one,no,no,no,no,yes,0,no
70000,4095,3,1,two,no,yes,yes,no,yes,0,no
45000,4095,2,1,one,yes,no,no,no,no,2,no
51000,3150,3,1,two,yes,no,yes,no,no,0,no
32500,1836,2,1,one,no,no,yes,no,no,0,no
34000,2475,3,1,two,yes,no,no,no,no,0,no
35000,3210,3,1,two,yes,no,yes,no,no,0,no
36000,3180,3,1,one,no,no,no,no,no,0,no
45000,1650,3,1,two,no,no,yes,no,no,0,no
47000,3180,4,1,two,yes,no,yes,no,yes,0,no
55000,3180,2,2,one,yes,no,yes,no,no,2,no
63900,6360,2,1,one,yes,no,yes,no,yes,1,no
50000,4240,3,1,two,yes,no,no,no,yes,0,no
35000,3240,2,1,one,no,yes,no,no,no,1,no
50000,3650,3,1,two,yes,no,no,no,no,0,no
43000,3240,3,1,two,yes,no,no,no,no,2,no
55500,3780,2,1,two,yes,yes,yes,no,no,0,no
57000,6480,3,1,two,no,no,no,no,yes,1,no
60000,5850,2,1,one,yes,yes,yes,no,no,2,no
78000,3150,3,2,one,yes,yes,yes,no,yes,0,no
35000,3000,2,1,one,yes,no,no,no,no,1,no
44000,3090,2,1,one,yes,yes,yes,no,no,0,no
47000,6060,3,1,one,yes,yes,yes,no,no,0,no
58000,5900,4,2,two,no,no,yes,no,no,1,no
163000,7420,4,1,two,yes,yes,yes,no,yes,2,no
128000,8500,3,2,four,yes,no,no,no,yes,2,no
123500,8050,3,1,one,yes,yes,yes,no,yes,1,no
39000,6800,2,1,one,yes,no,no,no,no,0,no
53900,8250,3,1,one,yes,no,no,no,no,2,no
59900,8250,3,1,one,yes,no,yes,no,no,3,no
35000,3500,2,1,one,yes,yes,no,no,no,0,no
43000,2835,2,1,one,yes,no,no,no,no,0,no
57000,4500,3,2,two,no,no,yes,no,yes,0,no
79000,3300,3,3,two,yes,no,yes,no,no,0,no
125000,4320,3,1,two,yes,no,yes,yes,no,2,no
132000,3500,4,2,two,yes,no,no,yes,no,2,no
58000,4992,3,2,two,yes,no,no,no,no,2,no
43000,4600,2,1,one,yes,no,no,no,no,0,no
48000,3720,2,1,one,no,no,no,no,yes,0,no
58500,3680,3,2,two,yes,no,no,no,no,0,no
73000,3000,3,2,two,yes,yes,yes,no,no,0,no
63500,3750,2,1,one,yes,yes,yes,no,no,0,no
43000,5076,3,1,one,no,no,no,no,no,0,no
46500,4500,2,1,one,no,no,no,no,no,0,no
92000,5000,3,1,two,yes,no,no,no,yes,0,no
75000,4260,4,1,two,yes,no,yes,no,yes,0,no
75000,6540,4,2,two,no,no,no,no,yes,0,no
85000,3700,4,1,two,yes,yes,no,no,yes,0,no
93000,3760,3,1,two,yes,no,no,yes,no,2,no
94500,4000,3,2,two,yes,no,yes,no,yes,1,no
106500,4300,3,2,two,yes,no,yes,no,no,1,no
116000,6840,5,1,two,yes,yes,yes,no,yes,1,no
61500,4400,2,1,one,yes,no,no,no,no,1,no
80000,10500,4,2,two,yes,no,no,no,no,1,no
37000,4400,2,1,one,yes,no,no,no,no,0,no
59500,4840,3,1,two,yes,no,no,no,no,1,no
70000,4120,2,1,one,yes,no,yes,no,no,1,no
95000,4260,4,2,two,yes,no,no,yes,no,0,no
117000,5960,3,3,two,yes,yes,yes,no,no,1,no
122500,8800,3,2,two,yes,no,no,no,yes,2,no
123500,4560,3,2,two,yes,yes,yes,no,yes,1,no
127000,4600,3,2,two,yes,yes,no,no,yes,2,no
35000,4840,2,1,two,yes,no,no,no,no,0,no
44500,3850,3,1,two,yes,no,no,no,no,0,no
49900,4900,3,1,two,no,no,no,no,no,0,no
50500,3850,3,1,one,yes,no,no,no,no,2,no
65000,3760,3,1,one,yes,no,no,no,no,2,no
90000,6000,4,2,four,yes,no,no,no,no,1,no
46000,4370,3,1,two,yes,no,no,no,no,0,no
35000,7700,2,1,one,yes,no,no,no,no,0,no
26500,2990,2,1,one,no,no,no,no,no,1,no
43000,3750,3,1,two,yes,no,no,no,no,0,no
56000,3000,3,1,two,yes,no,no,no,no,0,no
40000,2650,3,1,two,yes,no,yes,no,no,1,no
51000,4500,4,2,two,yes,no,yes,no,no,2,no
51000,4500,2,1,one,no,no,no,no,no,0,no
57250,4500,3,1,two,no,no,yes,no,yes,0,no
44000,4500,2,1,two,yes,no,no,yes,no,1,no
61000,2175,3,1,two,no,yes,yes,no,yes,0,no
62000,4500,3,2,three,yes,no,no,yes,no,1,no
80000,4800,5,2,three,no,no,yes,yes,no,0,no
50000,4600,4,1,two,yes,no,no,no,no,0,no
59900,3450,3,1,two,yes,no,no,no,no,1,no
35500,3000,3,1,two,no,no,no,no,no,0,no
37000,3600,2,2,two,yes,no,yes,no,no,1,no
42000,3600,3,1,two,no,no,no,no,no,1,no
48000,3750,3,1,one,yes,no,no,no,no,0,no
60000,2610,4,3,two,no,no,no,no,no,0,no
60000,2953,3,1,two,yes,no,yes,no,yes,0,no
60000,2747,4,2,two,no,no,no,no,no,0,no
62000,1905,5,1,two,no,no,yes,no,no,0,no
63000,3968,3,1,two,no,no,no,no,no,0,no
63900,3162,3,1,two,yes,no,no,no,yes,1,no
130000,6000,4,1,two,yes,no,yes,no,no,2,no
25000,2910,3,1,one,no,no,no,no,no,0,no
50000,2135,3,2,two,no,no,no,no,no,0,no
52900,3120,3,1,two,no,no,yes,yes,no,0,no
62000,4075,3,1,one,yes,yes,yes,no,no,2,no
73500,3410,3,1,two,no,no,no,no,yes,0,no
38000,2800,3,1,one,yes,no,no,no,no,0,no
46000,2684,2,1,one,yes,no,no,no,yes,1,no
48000,3100,3,1,two,no,no,yes,no,no,0,no
52500,3630,2,1,one,yes,no,yes,no,no,0,no
32000,1950,3,1,one,no,no,no,yes,no,0,no
38000,2430,3,1,one,no,no,no,no,no,0,no
46000,4320,3,1,one,no,no,no,no,no,1,no
50000,3036,3,1,two,yes,no,yes,no,no,0,no
57500,3630,3,2,two,yes,no,no,yes,no,2,no
70000,5400,4,1,two,yes,no,no,no,no,0,no
69900,3420,4,2,two,yes,no,yes,no,yes,2,no
74500,3180,3,2,two,yes,no,no,no,no,2,no
42000,3660,4,1,two,no,no,no,no,no,0,no
60000,4410,2,1,one,no,no,no,no,no,1,no
50000,3990,3,1,two,yes,no,no,no,no,0,no
58000,4340,3,1,one,yes,no,no,no,no,0,no
63900,3510,3,1,two,yes,no,no,no,no,0,no
28000,3420,5,1,two,no,no,no,no,no,0,no
54000,3420,2,1,two,yes,no,no,yes,no,1,no
44700,5495,3,1,one,yes,no,yes,no,no,0,no
47000,3480,4,1,two,no,no,no,no,no,1,no
50000,7424,3,1,one,no,no,no,no,no,0,no
57250,3460,4,1,two,yes,no,no,no,yes,0,no
67000,3630,3,1,two,yes,no,no,no,no,2,no
52500,3630,2,1,one,yes,no,no,no,yes,0,no
42000,3480,3,1,two,no,no,no,no,no,1,no
57500,3460,3,2,one,yes,no,yes,no,yes,1,no
33000,3180,2,1,one,yes,no,no,no,no,0,no
34400,3635,2,1,one,no,no,no,no,no,0,no
40000,3960,3,1,one,yes,no,no,no,no,0,no
40500,4350,3,1,two,no,no,no,yes,no,1,no
46500,3930,2,1,one,no,no,no,no,no,0,no
52000,3570,3,1,two,yes,no,yes,no,no,0,no
53000,3600,3,1,one,yes,no,no,no,no,1,no
53900,2520,5,2,one,no,no,yes,no,yes,1,no
50000,3480,3,1,one,no,no,no,no,yes,0,no
55500,3180,4,2,two,yes,no,no,no,no,0,no
56000,3290,2,1,one,yes,no,no,yes,no,1,no
60000,4000,4,2,two,no,no,no,no,no,0,no
60000,2325,3,1,two,no,no,no,no,no,0,no
69500,4350,2,1,one,yes,no,yes,no,no,0,no
72000,3540,2,1,one,no,yes,yes,no,no,0,no
92500,3960,3,1,one,yes,no,yes,no,no,2,no
40500,2640,2,1,one,no,no,no,no,no,1,no
42000,2700,2,1,one,no,no,no,no,no,0,no
47900,2700,3,1,one,no,no,no,no,no,0,no
52000,3180,3,1,two,no,no,yes,no,no,0,no
62000,3500,4,1,two,yes,no,no,no,no,2,no
41000,3630,2,1,one,yes,no,no,no,no,0,no
138300,6000,4,3,two,yes,yes,yes,yes,no,2,no
42000,3150,3,1,two,no,no,no,no,no,0,no
47000,3792,4,1,two,yes,no,no,no,no,0,no
64500,3510,3,1,three,yes,no,no,no,no,0,no
46000,3120,3,1,two,no,no,no,no,no,0,no
58000,3000,4,1,three,yes,no,yes,no,yes,2,no
70100,4200,3,1,two,yes,no,no,no,no,1,no
78500,2817,4,2,two,no,yes,yes,no,no,1,no
87250,3240,4,1,three,yes,no,no,no,no,1,no
70800,2800,3,2,two,no,no,yes,no,yes,1,no
56000,3816,2,1,one,yes,no,yes,no,yes,2,no
48000,3185,2,1,one,yes,no,yes,no,no,2,no
68000,6321,3,1,two,yes,no,yes,no,yes,1,no
79000,3650,3,2,two,yes,no,no,no,no,2,no
80000,4700,4,1,two,yes,yes,yes,no,yes,1,no
87000,6615,4,2,two,yes,yes,no,yes,no,1,no
25000,3850,3,1,two,yes,no,no,no,no,0,no
32500,3970,1,1,one,no,no,no,no,no,0,no
36000,3000,2,1,two,yes,no,no,no,no,0,no
42500,4352,4,1,two,no,no,no,no,no,1,no
43000,3630,4,1,two,yes,no,no,no,no,3,no
50000,3600,6,1,two,yes,no,no,no,no,1,no
26000,3000,2,1,one,yes,no,yes,no,no,2,no
30000,3000,4,1,two,yes,no,no,no,no,0,no
34000,2787,4,2,two,yes,no,no,no,no,0,no
52000,3000,2,1,two,yes,no,no,no,yes,0,no
70000,4770,3,1,one,yes,yes,yes,no,no,0,no
27000,3649,2,1,one,yes,no,no,no,no,0,no
32500,3970,3,1,two,yes,no,yes,no,no,0,no
37200,2910,2,1,one,no,no,no,no,no,0,no
38000,3480,2,1,one,yes,no,no,no,no,1,no
42000,6615,3,1,two,yes,no,no,no,no,0,no
44500,3500,2,1,one,yes,no,no,no,no,0,no
45000,3450,3,1,two,yes,no,yes,no,no,0,no
48500,3450,3,1,one,yes,no,yes,no,no,2,no
52000,3520,2,2,one,yes,no,yes,no,no,0,no
53900,6930,4,1,two,no,no,no,no,no,1,no
60000,4600,3,2,two,yes,no,no,no,yes,1,no
61000,4360,4,1,two,yes,no,no,no,no,0,no
64500,3450,3,1,two,yes,no,yes,no,no,1,no
71000,4410,4,3,two,yes,no,yes,no,no,2,no
75500,4600,2,2,one,yes,no,no,no,yes,2,no
33500,3640,2,1,one,yes,no,no,no,no,0,no
41000,6000,2,1,one,yes,no,no,no,no,0,no
41000,5400,4,1,two,yes,no,no,no,no,0,no
46200,3640,4,1,two,yes,no,yes,no,no,0,no
48500,3640,2,1,one,yes,no,no,no,no,0,no
48900,4040,2,1,one,yes,no,no,no,no,0,no
50000,3640,2,1,one,yes,no,no,no,no,1,no
51000,3640,2,1,one,yes,no,no,no,no,0,no
52500,5640,2,1,one,no,no,no,no,no,0,no
52500,3600,2,1,one,yes,no,no,no,no,0,no
54000,3600,2,1,one,yes,no,no,no,no,0,no
59000,4632,4,1,two,yes,no,no,no,yes,0,no
60000,3640,3,2,two,yes,no,yes,no,no,0,no
63000,4900,2,1,two,yes,no,yes,no,no,0,no
64000,4510,4,1,two,yes,no,no,no,yes,2,no
64900,4100,2,2,one,yes,yes,yes,no,no,0,no
65000,3640,3,1,two,yes,no,no,no,yes,0,no
66000,5680,3,1,two,yes,yes,no,no,yes,1,no
70000,6300,3,1,one,yes,no,no,no,yes,2,no
65500,4000,3,1,two,yes,no,no,no,no,1,no
57000,3960,3,1,two,yes,no,no,no,no,0,no
52000,5960,3,1,two,yes,yes,yes,no,no,0,no
54000,5830,2,1,one,yes,no,no,no,no,2,no
74500,4500,4,2,one,no,no,yes,no,yes,2,no
90000,4100,3,2,three,yes,no,no,no,yes,2,no
45000,6750,2,1,one,yes,no,no,no,no,0,no
45000,9000,3,1,two,yes,no,no,no,no,2,no
65000,2550,3,1,two,yes,no,yes,no,no,0,no
55000,7152,3,1,two,yes,no,no,no,yes,0,no
62000,6450,4,1,two,yes,no,no,no,no,0,no
30000,3360,2,1,one,yes,no,no,no,no,1,no
34000,3264,2,1,one,yes,no,no,no,no,0,no
38000,4000,3,1,one,yes,no,no,no,no,0,no
39000,4000,3,1,two,yes,no,no,no,no,1,no
45000,3069,2,1,one,yes,no,no,no,no,1,no
47000,4040,2,1,one,yes,no,no,no,no,0,no
47500,4040,2,1,one,yes,no,no,no,no,1,no
49000,3185,2,1,one,yes,no,no,no,no,2,no
50000,5900,2,1,one,yes,no,no,no,no,1,no
50000,3120,3,1,two,yes,no,no,no,no,1,no
52900,5450,2,1,one,yes,no,no,no,no,0,no
53000,4040,2,1,one,yes,no,no,no,no,0,no
55000,4080,2,1,one,yes,no,no,no,no,0,no
56000,8080,3,1,one,yes,no,no,no,yes,2,no
58500,4040,2,1,two,yes,no,no,no,no,1,no
59500,4080,3,1,two,yes,no,no,no,no,2,no
60000,5800,3,1,one,yes,no,no,yes,no,2,no
64000,5885,2,1,one,yes,no,no,no,yes,1,no
67000,9667,4,2,two,yes,yes,yes,no,no,1,no
68100,3420,4,2,two,yes,no,no,no,no,0,no
70000,5800,2,1,one,yes,yes,yes,no,yes,0,no
72000,7600,4,1,two,yes,no,no,no,yes,2,no
57500,5400,3,1,one,yes,no,no,no,no,3,no
69900,4995,4,2,one,yes,no,yes,no,no,0,no
70000,3000,3,1,two,yes,no,yes,no,yes,0,no
75000,5500,3,2,one,yes,no,yes,no,no,0,no
76900,6450,3,2,one,yes,yes,yes,yes,no,0,no
78000,6210,4,1,four,yes,yes,no,no,yes,0,no
80000,5000,3,1,four,yes,no,no,no,no,0,no
82000,5000,3,1,three,yes,no,no,no,yes,0,no
83000,5828,4,1,four,yes,yes,no,no,no,0,no
83000,5200,3,1,three,yes,no,no,no,yes,0,no
83900,5500,3,1,three,yes,yes,no,no,yes,1,no
88500,6350,3,2,three,yes,yes,no,no,yes,0,no
93000,8250,3,2,three,yes,no,no,no,yes,0,no
98000,6000,3,1,one,yes,no,no,no,yes,1,no
98500,7700,3,2,one,yes,no,no,no,no,2,no
99000,8880,3,2,two,yes,no,yes,no,yes,1,no
101000,8880,2,1,one,yes,no,no,no,yes,1,no
110000,6480,3,2,four,yes,no,no,no,yes,2,no
115442,7000,3,2,four,yes,no,no,no,yes,2,no
120000,8875,3,1,one,yes,no,no,no,no,1,no
124000,7155,3,2,one,yes,yes,yes,no,yes,2,no
175000,8960,4,4,four,yes,no,no,no,yes,3,no
50000,7350,2,1,one,yes,no,no,no,no,1,no
55000,3850,2,1,one,yes,no,no,no,no,0,no
60000,7000,3,1,one,yes,no,no,no,no,3,no
61000,7770,2,1,one,yes,no,no,no,no,1,no
106000,7440,3,2,one,yes,yes,yes,no,yes,0,yes
155000,7500,3,3,one,yes,no,yes,no,yes,2,yes
141000,8100,4,1,two,yes,yes,yes,no,yes,2,yes
62500,3900,3,1,two,yes,no,no,no,no,0,no
70000,2970,3,1,three,yes,no,no,no,no,0,no
73000,3000,3,1,two,yes,no,yes,no,no,0,no
80000,10500,2,1,one,yes,no,no,no,no,1,no
80000,5500,3,2,two,yes,no,no,no,no,1,no
88000,4500,3,1,four,yes,no,no,no,yes,0,no
49000,3850,3,1,one,yes,no,no,no,no,0,no
52000,4130,3,2,two,yes,no,no,no,no,2,no
59500,4046,3,1,two,yes,no,yes,no,no,1,no
60000,4079,3,1,three,yes,no,no,no,no,0,no
64000,4000,3,1,two,yes,no,no,no,no,2,no
64500,9860,3,1,one,yes,no,no,no,no,0,no
68500,7000,3,1,two,yes,no,yes,no,no,0,no
78500,7980,3,1,one,yes,no,no,no,no,2,no
86000,6800,2,1,one,yes,yes,yes,no,no,2,no
86900,4300,6,2,two,yes,no,no,no,no,0,no
75000,10269,3,1,one,yes,no,no,no,no,1,yes
78000,6100,3,1,three,yes,yes,no,no,yes,0,yes
95000,6420,3,2,three,yes,no,no,no,yes,0,yes
97000,12090,4,2,two,yes,no,no,no,no,2,yes
107000,6600,3,1,four,yes,no,no,no,yes,3,yes
130000,6600,4,2,two,yes,yes,yes,no,yes,1,yes
145000,8580,4,3,four,yes,no,no,no,yes,2,yes
175000,9960,3,2,two,yes,no,yes,no,no,2,yes
72000,10700,3,1,two,yes,yes,yes,no,no,0,no
84900,15600,3,1,one,yes,no,no,no,yes,2,no
99000,13200,2,1,one,yes,no,yes,yes,no,1,no
114000,9000,4,2,four,yes,no,no,no,yes,2,no
120000,7950,5,2,two,yes,no,yes,yes,no,2,no
145000,16200,5,3,two,yes,no,no,no,no,0,no
79000,6100,3,2,one,yes,no,yes,no,no,2,yes
82000,6360,3,1,one,yes,yes,yes,no,yes,2,yes
85000,6420,3,1,one,yes,no,yes,no,yes,0,yes
100500,6360,4,2,three,yes,no,no,no,yes,2,yes
122000,6540,4,2,two,yes,yes,yes,no,yes,2,yes
126500,6420,3,2,two,yes,no,no,no,yes,1,yes
133000,6550,4,2,two,yes,no,no,no,yes,1,yes
140000,5750,3,2,four,yes,yes,no,no,yes,1,yes
190000,7420,4,2,three,yes,no,no,no,yes,2,yes
84000,7160,3,1,one,yes,no,yes,no,no,2,yes
97000,4000,3,2,two,yes,no,yes,no,yes,0,yes
103500,9000,4,2,four,yes,yes,no,no,yes,1,yes
112500,6550,3,1,two,yes,no,yes,no,yes,0,yes
140000,13200,3,1,two,yes,no,yes,no,yes,2,yes
74700,7085,3,1,one,yes,yes,yes,no,no,2,yes
78000,6600,4,2,two,yes,yes,yes,no,no,0,yes
78900,6900,3,1,one,yes,yes,yes,no,no,0,yes
83900,11460,3,1,three,yes,no,no,no,no,2,yes
85000,7020,3,1,one,yes,no,yes,no,yes,2,yes
85000,6540,3,1,one,yes,yes,yes,no,no,2,yes
86000,8000,3,1,one,yes,yes,yes,no,yes,2,yes
86900,9620,3,1,one,yes,no,yes,no,no,2,yes
94500,10500,3,2,one,yes,no,yes,no,yes,1,yes
96000,5020,3,1,four,yes,no,no,no,yes,0,yes
106000,7440,3,2,four,yes,no,no,no,no,1,yes
72000,6600,3,1,one,yes,yes,yes,no,no,0,yes
74500,7200,3,1,two,yes,yes,yes,no,no,1,yes
77000,6710,3,2,two,yes,yes,yes,no,no,1,yes
80750,6660,4,2,two,yes,yes,yes,no,no,1,yes
82900,7000,3,1,one,yes,no,yes,no,no,2,yes
85000,7231,3,1,two,yes,yes,yes,no,yes,0,yes
92500,7410,3,1,one,yes,yes,yes,no,yes,2,yes
76000,7800,3,1,one,yes,no,yes,no,yes,2,yes
77500,6825,3,1,one,yes,yes,yes,no,yes,0,yes
80000,6360,3,1,three,yes,no,no,no,no,0,yes
80000,6600,4,2,one,yes,no,yes,no,no,0,yes
86000,6900,3,2,one,yes,yes,yes,no,no,0,yes
87000,6600,3,1,one,yes,yes,yes,no,no,2,yes
87500,6420,3,1,three,yes,no,yes,no,no,0,yes
89000,6600,3,2,one,yes,no,yes,no,yes,0,yes
89900,6600,3,2,three,yes,no,no,no,yes,0,yes
90000,9000,3,1,one,yes,no,yes,no,no,1,yes
95000,6500,3,2,three,yes,no,no,no,yes,0,yes
112000,6360,3,2,four,yes,no,no,no,yes,0,yes
31900,5300,3,1,one,no,no,no,no,yes,0,yes
52000,2850,3,2,two,no,no,yes,no,no,0,yes
90000,6400,3,1,one,yes,yes,yes,no,yes,1,yes
1.00E+05,11175,3,1,one,yes,no,yes,no,yes,1,yes
91700,6750,2,1,one,yes,yes,yes,no,no,2,yes
174500,7500,4,2,two,yes,no,yes,no,yes,3,yes
94700,6000,3,1,two,yes,no,no,yes,no,1,yes
68000,10240,2,1,one,yes,no,no,no,yes,2,yes
80000,5136,3,1,two,yes,yes,yes,no,yes,0,yes
61100,3400,3,1,two,yes,no,yes,no,no,2,yes
62900,2880,3,1,two,yes,no,no,no,no,0,yes
65500,3840,3,1,two,yes,no,no,no,no,1,yes
66000,2870,2,1,two,yes,yes,yes,no,no,0,yes
49500,5320,2,1,one,yes,no,no,no,no,1,yes
50000,3512,2,1,one,yes,no,no,no,no,1,yes
53500,3480,2,1,one,yes,no,no,no,no,0,yes
58550,3600,3,1,one,yes,no,yes,no,yes,0,yes
64500,3520,2,1,two,yes,no,no,no,no,0,yes
65000,5320,3,1,two,yes,yes,yes,no,no,0,yes
69000,6040,3,1,one,yes,no,no,no,no,2,yes
73000,11410,2,1,two,yes,no,no,no,no,0,yes
75000,8400,3,1,two,yes,yes,yes,no,yes,2,yes
75000,5300,4,2,one,yes,no,no,no,yes,0,yes
132000,7800,3,2,two,yes,no,no,no,no,0,yes
60000,3520,3,1,two,yes,no,no,no,no,0,yes
65000,5360,3,1,two,yes,no,no,no,no,2,yes
69000,6862,3,1,two,yes,no,no,no,yes,2,yes
51900,3520,3,1,one,yes,no,no,no,no,2,yes
57000,4050,2,1,two,yes,yes,yes,no,no,0,yes
65000,3520,3,1,one,yes,no,no,no,no,0,yes
79500,4400,4,1,two,yes,no,no,no,yes,2,yes
72500,5720,2,1,two,yes,no,no,no,yes,0,yes
104900,11440,4,1,two,yes,no,yes,no,no,1,yes
114900,7482,3,2,three,yes,no,no,yes,no,1,yes
120000,5500,4,2,two,yes,no,yes,no,yes,1,yes
58000,4320,3,1,two,yes,no,no,no,no,2,yes
67000,5400,2,1,two,yes,no,no,no,no,0,yes
67000,4320,3,1,one,yes,no,no,no,no,0,yes
69000,4815,2,1,one,yes,no,no,no,yes,0,yes
73000,6100,3,1,one,yes,no,yes,no,yes,0,yes
73500,7980,3,1,one,yes,no,no,no,no,1,yes
74900,6050,3,1,one,yes,no,yes,no,no,0,yes
75000,3800,3,1,two,yes,yes,yes,no,no,1,yes
79500,5400,5,1,two,yes,yes,yes,no,yes,0,yes
120900,6000,3,2,four,yes,yes,yes,no,yes,0,yes
44555,2398,3,1,one,yes,no,no,no,no,0,yes
47000,2145,3,1,two,yes,no,yes,no,no,0,yes
47600,2145,3,1,two,yes,no,yes,no,no,0,yes
49000,2145,3,1,three,yes,no,no,no,no,0,yes
49000,2610,3,1,two,yes,no,yes,no,no,0,yes
49000,1950,3,2,two,yes,no,yes,no,no,0,yes
49500,2145,3,1,three,yes,no,no,no,no,0,yes
52000,2275,3,1,three,yes,no,no,yes,yes,0,yes
54000,2856,3,1,three,yes,no,no,no,no,0,yes
55000,2015,3,1,two,yes,no,yes,no,no,0,yes
55000,2176,2,1,two,yes,yes,no,no,no,0,yes
56000,2145,4,2,one,yes,no,yes,no,no,0,yes
60000,2145,3,1,three,yes,no,no,no,no,1,yes
60500,2787,3,1,one,yes,no,yes,no,no,0,yes
50000,9500,3,1,two,yes,no,no,no,no,3,yes
64900,4990,4,2,two,yes,yes,yes,no,no,0,yes
93000,6670,3,1,three,yes,no,yes,no,no,0,yes
85000,6254,4,2,one,yes,no,yes,no,no,1,yes
61500,10360,2,1,one,yes,no,no,no,no,1,yes
88500,5500,3,2,one,yes,yes,yes,no,no,2,yes
88000,5450,4,2,one,yes,no,yes,no,yes,0,yes
89000,5500,3,1,three,yes,no,no,no,no,1,yes
89500,6000,4,1,three,yes,yes,yes,no,no,0,yes
95000,5700,3,1,one,yes,yes,yes,no,yes,2,yes
95500,6600,2,2,four,yes,no,yes,no,no,0,yes
51500,4000,2,1,one,yes,no,no,no,no,0,yes
62900,4880,3,1,one,yes,no,no,no,no,2,yes
118500,4880,4,2,two,yes,no,no,no,yes,1,yes
42900,8050,2,1,one,yes,no,no,no,no,0,no
44100,8100,2,1,one,yes,no,no,no,no,1,no
47000,5880,3,1,one,yes,no,no,no,no,1,no
50000,5880,2,1,one,yes,no,no,no,no,0,no
50000,12944,3,1,one,yes,no,no,no,no,0,no
53000,6020,3,1,one,yes,no,no,no,no,0,no
53000,4050,2,1,one,yes,no,no,no,no,0,no
54000,8400,2,1,one,yes,no,no,no,no,1,no
58500,5600,2,1,one,yes,no,no,no,yes,0,no
59000,5985,3,1,one,yes,no,yes,no,no,0,no
